"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.2",,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Börner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,https://doi.org/10.48539/HBM858.DNFV.736,,,,,
Date:,5/6/2022,,,,,
Version Number:,v1.2,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFLeftEye,#VHFemaleOrgans,VH_F_fovea_L,Left fovea centralis,FMA:58663,http://purl.obolibrary.org/obo/FMA_58663,VH_F_Eye_L
#VHFLeftEye,#VHFemaleOrgans,VH_F_macula_lutea_L,Left macula lutea,FMA:58639,http://purl.obolibrary.org/obo/FMA_58639,VH_F_Eye_L
#VHFLeftEye,#VHFemaleOrgans,VH_F_optic_disc_L,Left optic disc,FMA:58636,http://purl.obolibrary.org/obo/FMA_58636,VH_F_Eye_L
#VHFLeftEye,#VHFemaleOrgans,VH_F_sclera_L,Left sclera,FMA:58272,http://purl.obolibrary.org/obo/FMA_58272,VH_F_Eye_L
#VHFRightEye,#VHFemaleOrgans,VH_F_eye_R,right eye,UBERON:0004549,http://purl.obolibrary.org/obo/UBERON_0004549,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_sclera_R,Right sclera,FMA:58271,http://purl.obolibrary.org/obo/FMA_58271,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_iris_R,Right iris,FMA:58236,http://purl.obolibrary.org/obo/FMA_58236,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_schlemms_canal_R,Right scleral venous sinus,FMA:51874,http://purl.obolibrary.org/obo/FMA_51874,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_trabecular_meshwork_R,eye trabecular meshwork,UBERON:0005969,http://purl.obolibrary.org/obo/UBERON_0005969,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_optic_choroid_R,Right choroid,FMA:58299,http://purl.obolibrary.org/obo/FMA_58299,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_body_R,Right ciliary body,FMA:58296,http://purl.obolibrary.org/obo/FMA_58296,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_muscle_R,Right ciliary muscle,FMA:49152,http://purl.obolibrary.org/obo/FMA_49152,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_aqueous_humor_R,Aqueous humor of right eyeball,FMA:58820,http://purl.obolibrary.org/obo/FMA_58820,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_cornea_R,Right cornea,FMA:58239,http://purl.obolibrary.org/obo/FMA_58239,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_lens_R,Right lens,FMA:58242,http://purl.obolibrary.org/obo/FMA_58242,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_pupil_R,right pupil,UBERON:0010224,http://purl.obolibrary.org/obo/UBERON_0010224,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_corneo_scleral_junction_R,Right corneoscleral junction,FMA:58343,http://purl.obolibrary.org/obo/FMA_58343,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_ora_serrata_of_retina_R,Right ora serrata,FMA:58601,http://purl.obolibrary.org/obo/FMA_58601,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_suspensory_ligament_of_lens_R,Suspensory ligament of right lens,FMA:58839,http://purl.obolibrary.org/obo/FMA_58839,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_processes_R,ciliary processes,UBERON:0010427,http://purl.obolibrary.org/obo/UBERON_0010427,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_retina_R,Right retina,FMA:58302,http://purl.obolibrary.org/obo/FMA_58302,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_fovea_R,Right fovea centralis,FMA:58661,http://purl.obolibrary.org/obo/FMA_58661,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_macula_lutea_R,Right macula lutea,FMA:58638,http://purl.obolibrary.org/obo/FMA_58638,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_optic_disc_R,Right optic disc,FMA:58635,http://purl.obolibrary.org/obo/FMA_58635,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_vitreous_humor_R,Humor of right vitreous body,FMA:261236,http://purl.obolibrary.org/obo/FMA_261236,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_bulbar_conjunctiva_R,Right bulbar conjunctiva,FMA:59028,http://purl.obolibrary.org/obo/FMA_59028,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_right_lower_eyelid,Palpebral conjunctiva of right lower eyelid,FMA:223074,http://purl.obolibrary.org/obo/FMA_223074,VH_F_Eye_R
#VHFRightEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_right_upper_eyelid,Palpebral conjunctiva of right upper eyelid,FMA:223076,http://purl.obolibrary.org/obo/FMA_223076,VH_F_Eye_R
-,#VHFemaleOrgans,VH_F_nerves_of_eye,-,-,-,VH_F_United
-,#VHFemaleOrgans,VH_F_nerves_of_eye_R,-,-,-,VH_F_Nerves_Eye_R
#VHFNervesRightEye,#VHFemaleOrgans,VH_F_right_optic_nerve,Right optic nerve,FMA:50875,http://purl.obolibrary.org/obo/FMA_50875,VH_F_Nerves_Eye_R
#VHFNervesRightEye,#VHFemaleOrgans,VH_F_dura_mater_right,dura mater,UBERON:0002363,http://purl.obolibrary.org/obo/UBERON_0002363,VH_F_Nerves_Eye_R
-,#VHFemaleOrgans,VH_F_nerves_of_eye_L,-,-,-,VH_F_Nerves_Eye_L
#VHFNervesLeftEye,#VHFemaleOrgans,VH_F_left_optic_nerve,Left optic nerve,FMA:50878,http://purl.obolibrary.org/obo/FMA_50878,VH_F_Nerves_Eye_L
#VHFNervesLeftEye,#VHFemaleOrgans,VH_F_dura_mater_left,dura mater,UBERON:0002363,http://purl.obolibrary.org/obo/UBERON_0002363,VH_F_Nerves_Eye_L
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain,brain,UBERON:0000955,http://purl.obolibrary.org/obo/UBERON_0000955,Allen_F_Brain
#VHFBrain,#VHFemaleOrgans,VH_F_optic_chiasm,optic chiasma,UBERON:0000959,http://purl.obolibrary.org/obo/UBERON_0000959,VH_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain_hemisphere_L,left cerebral hemisphere,UBERON:0002812,http://purl.obolibrary.org/obo/UBERON_0002812,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_bulb_L,olfactory bulb,UBERON:0002264,http://purl.obolibrary.org/obo/UBERON_0002264,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_olfactory_nucleus_L,anterior olfactory nucleus,UBERON:0002266,http://purl.obolibrary.org/obo/UBERON_0002266,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_piriform_region_L,piriform cortex,UBERON:0004725,http://purl.obolibrary.org/obo/UBERON_0004725,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_head_of_caudate_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_caudate_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tail_of_caudate_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_putamen_L,left putamen,UBERON:0008884,http://purl.obolibrary.org/obo/UBERON_0008884,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_nucleus_accumbens_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_external_segment_of_globus_pallidus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_internal_segment_of_globus_pallidus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_claustrum_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basal_forebrain_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_septal_nuclei_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdaloid_complex_L,-,-,-,Allen_F_Brain
