Extraction Sites and Landmark Organs Mapping to 3D Reference Object Library Mapping,,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_axillary_tail_of_breast,axillary tail of breast,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_costal_cartilage,costal cartilage,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_ribs,ribs,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_pectoralis_minor,pectoralis minor,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_pectoralis_major,pectoralis major,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_clavicle,clavicle,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_humerus,humerus,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_scapula,scapula,
-,-,-,#VHFemaleOrgans,VH_F_eye_landmarks,Eye Landmarks,
-,-,-,#VHFemaleOrgans,VH_F_eye_R_landmarks,Right Eye Landmarks,
#VHFRightEye,#VHFEyeRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_R_landmark_arteries,Right Eye Arteries,
#VHFRightEye,#VHFEyeRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_R_landmark_veins,Right Eye Veins,
#VHFRightEye,#VHFEyeRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_R_landmark_dura_mater_optic_nerve,Right Eye Dura Mater Optic Nerve,
#VHFRightEye,#VHFEyeRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_R_landmark_muscles,Right Eye Muscles,
-,-,-,#VHFemaleOrgans,VH_F_eye_L_landmarks,Left Eye Landmarks,
#VHFLeftEye,#VHFEyeLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_L_landmark_muscles,Left Eye Muscles,
#VHFLeftEye,#VHFEyeLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_L_landmark_dura_mater_optic_nerve,Left Eye Dura Mater Optic Nerve,
#VHFLeftEye,#VHFEyeLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_L_landmark_arteries,Left Eye Arteries,
#VHFLeftEye,#VHFEyeLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_eye_L_landmark_veins,Left Eye Veins,
-,-,-,#VHFemaleOrgans,VH_F_fallopian_tube_landmarks,Fallopian tube landmarks,
-,-,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_R_landmarks,right fallopian tube landmarks,
#VHFRightFallopianTube,#VHFRightFallopianTubeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_R_landmark_uterus,uterus,
#VHFRightFallopianTube,#VHFRightFallopianTubeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_R_landmark_right_ovary,right ovary,
-,-,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_L_landmarks,left fallopian tube landmarks,
#VHFLeftFallopianTube,#VHFLeftFallopianTubeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_L_landmark_uterus,uterus,
#VHFLeftFallopianTube,#VHFLeftFallopianTubeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_fallopian_tube_L_landmark_left_ovary,left ovary,
-,-,Landmarks,#VHFemaleOrgans,VH_F_heart_landmarks,heart landmarks,
#VHFHeartV1.1,#VHFHeartLandmarks,Landmarks,#VHFemaleOrgans,VH_F_heart_landmark_arteries,Heart arteries,
#VHFHeartV1.1,#VHFHeartLandmarks,Landmarks,#VHFemaleOrgans,VH_F_heart_landmark_veins,Heart veins,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_bisection_line_R,Bisection Line,
-,-,Landmarks,#VHFemaleOrgans,VH_F_kidney_landmarks,Kidney landmarks,
-,-,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmarks,right kidney landmarks,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_right_ureter,right ureter,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_renal_pelvis,right renal pelvis,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_minor_calyxes,minor calyxes,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_major_calyxes,major calyxes,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_renal_artery,right renal artery,
#VHFRightKidneyV1.1,#VHFRightKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_R_landmark_renal_vein,right renal vein,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_bisection_line_L,Bisection Line,
-,-,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmarks,left kidney landmarks,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_left_ureter,left ureter,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_renal_pelvis,left renal pelvis,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_minor_calyxes,minor calyxes,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_major_calyxes,major calyxes,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_renal_artery,left renal artery,
#VHFLeftKidneyV1.1,#VHFLeftKidneyLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_L_landmark_renal_vein,left renal vein,
-,-,Landmarks,#VHFemaleOrgans,VH_F_knee_landmarks,knee landmarks,
-,-,Landmarks,#VHFemaleOrgans,VH_F_knee_R_landmarks,right knee landmarks,
#VHFRightKnee,#VHFRightKneeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_knee_R_landmark_rectus_femoris,right rectus femoris,
#VHFRightKnee,#VHFRightKneeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_knee_R_landmark_ligaments,right knee ligaments,
-,-,Landmarks,#VHFemaleOrgans,VH_F_knee_L_landmarks,left knee landmarks,
#VHFLeftKnee,#VHFLeftKneeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_knee_L_landmark_rectus_femoris,left rectus femoris,
#VHFLeftKnee,#VHFLeftKneeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_knee_L_landmark_ligaments,left knee ligaments,
-,-,Landmarks,#VHFemaleOrgans,VH_F_large_intestine_landmarks,large intestine landmarks,
#VHFLargeIntestine,#VHFLargeIntestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_large_intestine_landmark_veins,large intestine veins,
#VHFLargeIntestine,#VHFLargeIntestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_large_intestine_landmark_arteries,large intestine arteries,
-,-,Landmarks,#VHFemaleOrgans,VH_F_liver_landmarks,liver landmarks,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_gallbladder,gallbladder,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_cystic_artery,cystic artery,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_cystic_vein,cystic vein,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_biliary_tree,biliary tree,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_veins_of_liver,veins of liver,
#VHFLiver,#VHFLiverLandmarks,Landmarks,#VHFemaleOrgans,VH_F_liver_landmark_arteries_of_liver,arteries of liver,
-,-,Landmarks,#VHFemaleOrgans,VH_F_ovary__landmarks,-,
-,-,Landmarks,#VHFemaleOrgans,VH_F_ovary_R_landmarks,Right ovary landmarks,
#VHFRightOvary,#VHFRightOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_R_landmark_fallopian_tube,Right fallopian tube,
#VHFRightOvary,#VHFRightOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_R_landmark_ligaments_of_uterus_and_ovaries,Right ligaments of uterus and ovaries,
#VHFRightOvary,#VHFRightOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_R_landmark_uterus,uterus,
-,-,Landmarks,#VHFemaleOrgans,VH_F_ovary_L_landmarks,left ovary landmarks,
#VHFLeftOvary,#VHFLeftOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_L_landmark_uterus,uterus,
#VHFLeftOvary,#VHFLeftOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_L_landmark_ligaments_of_uterus_and_ovaries,left ligaments of uterus and ovaries,
#VHFLeftOvary,#VHFLeftOvaryLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ovary_L_landmark_fallopian_tube,left fallopian tube,
-,-,Landmarks,#VHFemaleOrgans,VH_F_pancreas_landmarks,pancreas landmarks,
#VHFPancreas,#VHFPancreasLandmarks,Landmarks,#VHFemaleOrgans,VH_F_pancreas_landmark_duodenum,duodenum,
#VHFPancreas,#VHFPancreasLandmarks,Landmarks,#VHFemaleOrgans,VH_F_pancreas_landmark_biliary_tree,biliary tree,
#VHFPlacenta,#VHFPlacentaLandmarks,Landmarks,#VHFemaleOrgans,VH_F_basal_plate,basal plate,
#VHFPlacenta,#VHFPlacentaLandmarks,Landmarks,#VHFemaleOrgans,VH_F_placenta_vessels,placenta vessels,
-,-,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_landmarks,small intestine landmarks,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_landmark_biliary_tree,biliary tree,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_landmark_cm_markers,cm line markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_landmark_jejunoileal_junction,jejunoileal junction,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_landmark_measurement_discs,five cm disc markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_185_cm,185 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_180_cm,180 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_175_cm,175 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_170_cm,170 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_165_cm,165 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_160_cm,160 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_155_cm,155 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_150_cm,150 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_145_cm,145 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_140_cm,140 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_135_cm,135 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_130_cm,130 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_125_cm,125 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_120_cm,120 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_115_cm,115 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_110_cm,110 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_105_cm,105 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_100_cm,100 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_095_cm,95 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_090_cm,90 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_085_cm,85 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_080_cm,80 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_075_cm,75 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_070_cm,70 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_065_cm,65 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_060_cm,60 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_055_cm,55 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_050_cm,50 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_045_cm,45 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_040_cm,40 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_035_cm,35 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_030_cm,30 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_025_cm,25 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_020_cm,20 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_015_cm,15 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F__small_intestine_disc_at_010_cm,10 cm markers,
#VHFSmallIntestine,#VHFSmallInstestineLandmarks,Landmarks,#VHFemaleOrgans,VH_F_small_intestine_disc_at_005_cm,5 cm markers,
-,-,Landmarks,#VHFemaleOrgans,VH_F_spinal_cord_landmarks,spinal cord landmarks,
-,-,Landmarks,#VHFemaleOrgans,VH_F_spinal_cord_landmark_vertebrae,vertebrae,
#VHFSpinalCord,#VHFSpinalCordVertebraeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_spinal_cord_landmark_thoracic_vertebrae,thoracic vertebrae,
#VHFSpinalCord,#VHFSpinalCordVertebraeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_spinal_cord_landmark_lumbar_vertebrae,lumbar vertebrae,
#VHFSpinalCord,#VHFSpinalCordVertebraeLandmarks,Landmarks,#VHFemaleOrgans,VH_F_spinal_cord_landmark_cervical_vertebrae,cervical vertebrae,
-,-,-,#VHFemaleOrgans,VH_F_spleen_landmarks,spleen landmarks,
#VHFSpleenV1.1,#VHFSpleenLandmarks,Landmarks,#VHFemaleOrgans,VH_F_spleen_landmark_splenic_artery,splenic artery,
#VHFSpleenV1.1,#VHFSpleenLandmarks,Landmarks,#VHFemaleOrgans,VH_F_spleen_landmark_splenic_vein,splenic vein,
-,-,-,#VHFemaleOrgans,VH_F_uterus_landmarks,uterus landmarks,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_fallopian_tube_L,left fallopian tube,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_fallopian_tube_R,right fallopian tube,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_left_uterine_vein,left uterine vein,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_left_uterine_artery,left uterine artery,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_right_uterine_artery,right uterine artery,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_right_uterine_vein,right uterine vein,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_ligaments_of_uterus_and_ovaries,ligaments of uterus and ovary,
#VHFUterus,#VHFUterusLandmarks,Landmarks,#VHFemaleOrgans,VH_F_uterus_landmark_vagina,vagina,
#VHFLeftUreter,#VHFLeftUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_kidney_calyx_L,kidney calyx,
#VHFLeftUreter,#VHFLeftUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_renal_pelvis_L,renal pelvis,
#VHFRightUreter,#VHFRightUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_renal_calyx_R,kidney calyx,
#VHFRightUreter,#VHFRightUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_renal_pelvis_R,renal pelvis,
-,-,-,#VHFemaleOrgans,VH_F_ureter_landmarks,ureter landmarks,
#VHFLeftUreter,#VHFLeftUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ureter_L_landmark_urinary_bladder,urinary bladder,
#VHFRightUreter,#VHFRightUreterLandmarks,Landmarks,#VHFemaleOrgans,VH_F_ureter_R_landmark_urinary_bladder,urinary bladder,
-,-,-,#VHFemaleOrgans,VH_F_urinary_bladder_landmarks,Urinary Bladder Landmarks,
#VHFUrinaryBladder,#VHFUrinaryBladderLandmarks,Landmarks,#VHFemaleOrgans,VH_F_urinary_bladder_landmark_right_ureter,right ureter,
#VHFUrinaryBladder,#VHFUrinaryBladderLandmarks,Landmarks,#VHFemaleOrgans,VH_F_urinary_bladder_landmark_left_ureter,left ureter,
-,-,-,-,VH_F_Extraction_Sites,-,
-,-,ALL,#VHFemaleOrgans,VH_F_heart_extraction_sites,Heart extraction sites,
-,-,HCA,#VHFemaleOrgans,VH_F_heart_HCA_extraction_sites,HCA heart extraction sites,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_right_ventricle,right ventricle,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_right_atrium,right atrium,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_septum,septum,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_left_ventricle_free_wall,left ventricle free wall,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_apex,apex,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_left_atrium,left atrium,
-,-,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_extraction_sites,VH_F_heart_SPARC heart extraction sites,
#VHFHeartV1.1,#VHFHeartVH_F_heart_SPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_apical_septum,apical septum,
#VHFHeartV1.1,#VHFHeartVH_F_heart_SPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_AVN,AV (atrioventricular) node,
#VHFHeartV1.1,#VHFHeartVH_F_heart_SPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_lateral_LV,basal lateral left ventricle,
#VHFHeartV1.1,#VHFHeartVH_F_heart_SPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_inf_LV,basal inferior left ventricle,
#VHFHeartV1.1,#VHFHeartVH_F_heart_SPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_ant_LV,basal anterior left ventricle,
