Extraction Sites and Landmark Organs Mapping to 3D Reference Object Library Mapping,,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,,,,,,
Date:,12/15/22,,,,,
Version Number:,v1.3,,,,,
extraction_set_for,extraction_set_id,extraction_set_label,source_spatial_entity,node_name,label,tooltip
-,-,-,#VHFemaleOrgans,VH_F_Landmarks,-,
-,-,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_landmarks,Mammary Gland Landmarks,
-,-,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmarks,Left Mammary Gland Landmarks,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_sternum,sternum,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_manubrium,manubrium,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_xiphoid_process,xiphoid process,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_axillary_tail_of_breast,axillary tail of breast,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_lower_outer_quadrant_of_breast,lower outer quadrant of breast,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_lower_inner_quadrant_of_breast,lower inner quadrant of breast,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_upper_outer_quadrant_of_breast,upper outer quadrant of breast,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_upper_inner_quadrant_of_breast,upper inner quadrant of breast,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_ribs,ribs,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_pectoralis_minor,pectoralis minor,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_pectoralis_major,pectoralis major,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_clavicle,clavicle,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_humerus,humerus,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_scapula,scapula,
#VHFLeftMammaryGland,#VHFMammaryGlandLeftLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_L_landmark_costal_cartilage,costal cartilage,
-,-,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmarks,Right Mammary Gland Landmarks,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_manubrium,manubrium,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_xiphoid_process,xiphoid process,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_sternum,sternum,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_upper_inner_quadrant_of_breast,upper inner quadrant of breast,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_lower_inner_quadrant_of_breast,lower inner quadrant of breast,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_upper_outer_quadrant_of_breast,upper outer quadrant of breast,
#VHFRightMammaryGland,#VHFMammaryGlandRightLandmarks,Landmarks,#VHFemaleOrgans,VH_F_mammary_gland_R_landmark_lower_outer_quadrant_of_breast,lower outer quadrant of breast,
